Annual Mileage,Lower Bound,BIPD,COLL,COMP,MPC,U
0 - 1449,0,0.617,0.581,0.652,0.645,0.667
1450 - 2449,1450,0.675,0.697,0.662,0.674,0.691
2450 - 3449,2450,0.743,0.742,0.7,0.709,0.733
3450 - 4449,3450,0.757,0.78,0.748,0.723,0.775
4450 - 5449,4450,0.816,0.803,0.767,0.779,0.795
5450 - 6449,5450,0.859,0.852,0.815,0.783,0.815
6450 - 7449,6450,0.898,0.91,0.853,0.83,0.892
7450 - 8449,7450,0.941,0.951,0.89,0.913,0.92
8450 - 9449,8450,0.957,0.969,0.92,0.982,0.989
9450 - 10449,9450,0.976,0.996,0.94,0.989,0.996
10450 - 11449,10450,1,1,1,1,1
11450 - 12449,11450,1.002,1.002,1.007,1.014,1.011
12450 - 13449,12450,1.006,1.004,1.034,1.021,1.026
13450 - 14449,13450,1.009,1.01,1.045,1.028,1.049
14450 - 15449,14450,1.028,1.021,1.069,1.035,1.062
15450 - 16449,15450,1.047,1.029,1.074,1.043,1.07
16450 - 17449,16450,1.069,1.054,1.091,1.05,1.077
17450 - 18449,17450,1.112,1.058,1.099,1.057,1.087
18450 - 19449,18450,1.122,1.077,1.155,1.071,1.096
19450 - 20449,19450,1.155,1.104,1.199,1.092,1.099
20450 - 21449,20450,1.168,1.114,1.208,1.106,1.103
21450 - 23949,21450,1.178,1.124,1.218,1.121,1.151
23950 - 26449,23950,1.187,1.16,1.285,1.135,1.166
26450 - 28949,26450,1.194,1.206,1.323,1.149,1.18
28950 - 31449,28950,1.215,1.234,1.333,1.156,1.195
31450 - 33949,31450,1.263,1.271,1.342,1.16,1.21
33950+,33950,1.355,1.322,1.362,1.184,1.224