DRG,FULL,50,100,200,250,500,1000,1000W/20%,2000
1,0.2,0.16,0.13,0.11,0.09,0.07,0.05,0.05,0.03
2,0.23,0.19,0.16,0.12,0.12,0.09,0.06,0.06,0.03
3,0.26,0.22,0.18,0.14,0.14,0.11,0.07,0.06,0.04
4,0.29,0.25,0.21,0.16,0.16,0.12,0.08,0.07,0.05
5,0.35,0.3,0.27,0.18,0.18,0.14,0.09,0.09,0.05
6,0.41,0.36,0.31,0.23,0.23,0.17,0.12,0.11,0.07
7,0.47,0.42,0.37,0.27,0.27,0.18,0.14,0.14,0.08
8,0.53,0.47,0.42,0.31,0.31,0.22,0.16,0.15,0.09
9,0.59,0.53,0.48,0.36,0.35,0.27,0.18,0.17,0.1
10,0.63,0.58,0.51,0.39,0.38,0.3,0.2,0.19,0.11
11,0.69,0.62,0.56,0.42,0.41,0.34,0.23,0.22,0.13
12,0.75,0.69,0.61,0.47,0.46,0.38,0.27,0.25,0.16
13,0.85,0.79,0.72,0.56,0.55,0.45,0.32,0.3,0.19
14,0.93,0.86,0.81,0.63,0.62,0.5,0.37,0.35,0.23
15,1,0.93,0.88,0.71,0.7,0.56,0.41,0.38,0.26
16,1.07,1,0.94,0.8,0.78,0.61,0.45,0.43,0.29
17,1.15,1.07,1.02,0.89,0.84,0.67,0.5,0.47,0.32
18,1.23,1.15,1.09,0.97,0.91,0.72,0.54,0.51,0.35
19,1.3,1.23,1.16,1.03,0.97,0.77,0.58,0.54,0.38
20,1.44,1.35,1.29,1.16,1.09,0.87,0.66,0.62,0.44
21,1.59,1.5,1.43,1.29,1.21,0.98,0.75,0.71,0.49
22,1.73,1.63,1.57,1.4,1.33,1.08,0.83,0.78,0.53
23,1.89,1.79,1.72,1.54,1.46,1.2,0.92,0.87,0.59
24,2.07,1.95,1.88,1.7,1.61,1.32,1.03,0.98,0.66
25,2.25,2.13,2.05,1.86,1.76,1.45,1.13,1.07,0.71
26,2.42,2.3,2.21,2,1.91,1.57,1.23,1.16,0.77
27,2.59,2.46,2.37,2.15,2.05,1.7,1.33,1.24,0.82
28,2.76,2.62,2.53,2.29,2.19,1.81,1.43,1.33,0.88
29,2.93,2.78,2.68,2.45,2.33,1.94,1.53,1.43,0.93
30,3.1,2.95,2.84,2.59,2.48,2.06,1.62,1.51,0.97
31,3.3,3.13,3.04,2.73,2.64,2.2,1.71,1.59,1.03
32,3.43,3.26,3.16,2.88,2.75,2.3,1.8,1.68,1.08
33,3.6,3.42,3.32,3.02,2.89,2.42,1.89,1.76,1.14
34,3.76,3.58,3.47,3.15,3.02,2.53,1.98,1.85,1.19
35,3.93,3.75,3.63,3.3,3.17,2.65,2.06,1.92,1.25