rate_level,bipd_factor,coll_factor,comp_factor,mpc_factor,um_factor
0,0.506,0.53,0.641,0.573,0.623
1,0.65,0.633,0.664,0.686,0.678
2,0.667,0.672,0.684,0.714,0.737
3,0.73,0.733,0.775,0.774,0.783
4,0.769,0.777,0.788,0.809,0.837
5,0.803,0.822,0.795,0.818,0.845
6,0.843,0.84,0.802,0.876,0.868
7,0.904,0.897,0.906,0.906,0.909
8,1,1,1,1,1
9,1.019,1.012,1.1,1.169,1.267
10,1.124,1.044,1.233,1.223,1.278
11,1.152,1.156,1.367,1.266,1.363
12,1.267,1.269,1.5,1.38,1.486
13,1.427,1.39,1.733,1.617,1.688
14,1.461,1.439,1.867,1.754,1.852
15,1.588,1.646,2.033,1.906,2.064
16,1.662,1.746,2.2,2.064,2.164
17,1.866,1.861,2.367,2.273,2.362
18,2.135,2.125,2.49,2.364,2.541
19,2.233,2.156,2.596,2.51,2.602
20,2.247,2.282,2.881,2.638,2.838
21,2.4,2.432,3.061,2.822,3.026
22,2.444,2.625,3.083,2.877,3.121
23,2.628,2.702,3.266,3.152,3.515
24,2.785,2.83,3.418,3.494,3.64
25,2.854,3.072,3.767,3.533,3.724
26,2.997,3.209,3.998,3.64,3.855
27,3.025,3.248,4,3.562,4.074
28,3.09,3.425,4.127,3.892,4.146
29,3.146,3.449,4.162,4.367,4.23
30,3.458,3.712,4.899,4.38,4.687